,itemDescription,InvoiceNum
0,sausage,1
1,whole milk,1
2,semi/finished bread,1
3,yogurt,1
4,whole milk,2
5,pastry,2
6,salty snack,2
7,canned beer,3
8,misc. beverages,3
9,sausage,4
10,hygiene articles,4
11,soda,5
12,pickled vegetables,5
13,sausage,6
14,whole milk,6
15,rolls/buns,6
16,whole milk,7
17,soda,7
18,frankfurter,8
19,curd,8
20,beef,9
21,white bread,9
22,frankfurter,10
23,soda,10
24,whipped/sour cream,10
25,frozen vegetables,11
26,other vegetables,11
27,butter,12
28,whole milk,12
29,tropical fruit,13
30,sugar,13
31,butter milk,14
32,specialty chocolate,14
33,sausage,15
34,rolls/buns,15
35,root vegetables,16
36,detergent,16
37,frozen meals,17
38,dental care,17
39,rolls/buns,18
40,rolls/buns,18
41,dish cleaner,19
42,cling film/bags,19
43,canned beer,20
44,frozen fish,20
45,pip fruit,21
46,whole milk,21
47,tropical fruit,21
48,rolls/buns,22
49,red/blush wine,22
50,chocolate,22
51,other vegetables,23
52,shopping bags,23
53,other vegetables,24
54,hygiene articles,24
55,whole milk,25
56,chocolate,25
57,packaged fruit/vegetables,25
58,rolls/buns,25
59,root vegetables,26
60,whole milk,26
61,pastry,26
62,rolls/buns,27
63,rolls/buns,27
64,whipped/sour cream,28
65,margarine,28
66,bottled water,29
67,softener,29
68,rolls/buns,29
69,whole milk,30
70,rice,30
71,shopping bags,31
72,skin care,31
73,whole milk,32
74,frankfurter,32
75,chicken,32
76,frankfurter,32
77,flour,32
78,chocolate,32
79,bottled beer,32
80,rolls/buns,32
81,hamburger meat,33
82,liquor (appetizer),33
83,liver loaf,33
84,dessert,33
85,tropical fruit,34
86,soda,34
87,yogurt,34
88,root vegetables,34
89,yogurt,34
90,domestic eggs,34
91,white wine,34
92,photo/film,34
93,herbs,35
94,yogurt,35
95,newspapers,35
96,tropical fruit,36
97,yogurt,36
98,pastry,37
99,ketchup,37
100,canned fish,38
101,cocoa drinks,38
102,pip fruit,39
103,coffee,39
104,UHT/milk,39
105,kitchen towels,40
106,sliced cheese,40
107,bottled water,41
108,specialty bar,41
109,frankfurter,42
110,bottled water,42
111,pip fruit,43
112,candles,43
113,rolls/buns,43
114,curd cheese,44
115,pastry,44
116,whole milk,45
117,frankfurter,45
118,candles,45
119,grapes,45
120,herbs,45
121,other vegetables,45
122,yogurt,45
123,citrus fruit,46
124,candy,46
125,bottled water,46
126,rolls/buns,46
127,frankfurter,47
128,yogurt,47
129,tropical fruit,48
130,root vegetables,48
131,rolls/buns,48
132,onions,48
133,shopping bags,48
134,frozen vegetables,49
135,brown bread,49
