Id,itemDescription,InvoiceNum,Quantity
0,sausage,1,1
1,whole milk,1,1
2,semi/finished bread,1,1
3,yogurt,1,1
4,whole milk,2,1
5,pastry,2,1
6,salty snack,2,1
7,canned beer,3,1
8,misc. beverages,3,1
9,sausage,4,1
10,hygiene articles,4,1
11,soda,5,1
12,pickled vegetables,5,1
13,sausage,6,1
14,whole milk,6,1
15,rolls/buns,6,1
16,whole milk,7,1
17,soda,7,1
18,frankfurter,8,1
19,curd,8,1
20,beef,9,1
21,white bread,9,1
22,frankfurter,10,1
23,soda,10,1
24,whipped/sour cream,10,1
25,frozen vegetables,11,1
26,other vegetables,11,1
27,butter,12,1
28,whole milk,12,1
29,tropical fruit,13,1
30,sugar,13,1
31,butter milk,14,1
32,specialty chocolate,14,1
33,sausage,15,1
34,rolls/buns,15,1
35,root vegetables,16,1
36,detergent,16,1
37,frozen meals,17,1
38,dental care,17,1
39,rolls/buns,18,2
40,dish cleaner,19,1
41,cling film/bags,19,1
42,canned beer,20,1
43,frozen fish,20,1
44,pip fruit,21,1
45,whole milk,21,1
46,tropical fruit,21,1
47,rolls/buns,22,1
48,red/blush wine,22,1
49,chocolate,22,1
50,other vegetables,23,1
51,shopping bags,23,1
52,other vegetables,24,1
53,hygiene articles,24,1
54,whole milk,25,1
55,chocolate,25,1
56,packaged fruit/vegetables,25,1
57,rolls/buns,25,1
58,root vegetables,26,1
59,whole milk,26,1
60,pastry,26,1
61,rolls/buns,27,2
62,whipped/sour cream,28,1
63,margarine,28,1
64,bottled water,29,1
65,softener,29,1
66,rolls/buns,29,1
67,whole milk,30,1
68,rice,30,1
69,shopping bags,31,1
70,skin care,31,1
71,whole milk,32,1
72,frankfurter,32,1
73,chicken,32,1
74,frankfurter,32,1
75,flour,32,1
76,chocolate,32,1
77,bottled beer,32,1
78,rolls/buns,32,1
79,hamburger meat,33,1
80,liquor (appetizer),33,1
81,liver loaf,33,1
82,dessert,33,1
83,tropical fruit,34,1
84,soda,34,1
