,itemDescription,InvoiceNum
0,sausage,1
1,whole milk,1
2,yogurt,1
3,whole milk,2
4,pastry,2
5,salty snack,2
6,canned beer,3
7,misc. beverages,3
8,sausage,4
9,hygiene articles,4
10,soda,5
11,sausage,6
12,whole milk,6
13,rolls/buns,6
14,whole milk,7
15,soda,7
16,frankfurter,8
17,curd,8
18,beef,9
19,white bread,9
20,frankfurter,10
21,soda,10
22,whipped/sour cream,10
23,frozen vegetables,11
24,other vegetables,11
25,butter,12
26,whole milk,12
27,tropical fruit,13
28,sugar,13
29,butter milk,14
30,specialty chocolate,14
31,sausage,15
32,rolls/buns,15
33,root vegetables,16
34,frozen meals,17
35,rolls/buns,18
36,rolls/buns,18
37,canned beer,20
38,pip fruit,21
39,whole milk,21
40,tropical fruit,21
41,rolls/buns,22
42,chocolate,22
43,other vegetables,23
44,shopping bags,23
45,other vegetables,24
46,hygiene articles,24
47,whole milk,25
48,chocolate,25
49,rolls/buns,25
50,root vegetables,26
51,whole milk,26
52,pastry,26
53,rolls/buns,27
54,rolls/buns,27
55,whipped/sour cream,28
56,margarine,28
57,bottled water,29
58,rolls/buns,29
59,whole milk,30
60,shopping bags,31
61,whole milk,32
62,frankfurter,32
63,chicken,32
64,frankfurter,32
65,chocolate,32
66,bottled beer,32
67,rolls/buns,32
68,hamburger meat,33
69,dessert,33
70,tropical fruit,34
71,soda,34
72,yogurt,34
73,root vegetables,34
74,yogurt,34
75,domestic eggs,34
76,yogurt,35
77,newspapers,35
78,tropical fruit,36
79,yogurt,36
80,pastry,37
81,pip fruit,39
82,coffee,39
83,UHT/milk,39
84,sliced cheese,40
85,bottled water,41
86,specialty bar,41
87,frankfurter,42
88,bottled water,42
89,pip fruit,43
90,rolls/buns,43
91,pastry,44
92,whole milk,45
93,frankfurter,45
94,grapes,45
95,other vegetables,45
96,yogurt,45
97,citrus fruit,46
98,candy,46
99,bottled water,46
100,rolls/buns,46
101,frankfurter,47
102,yogurt,47
103,tropical fruit,48
104,root vegetables,48
105,rolls/buns,48
106,onions,48
107,shopping bags,48
108,frozen vegetables,49
109,brown bread,49
110,whole milk,50
111,root vegetables,51
112,frozen meals,52
113,whole milk,52
114,white bread,53
115,meat,53
116,domestic eggs,53
117,other vegetables,54
118,hard cheese,55
119,napkins,55
120,bottled water,55
121,whole milk,56
122,candy,56
123,tropical fruit,57
124,frozen vegetables,57
125,whipped/sour cream,58
126,hamburger meat,59
127,butter milk,59
128,whole milk,60
129,rolls/buns,60
130,whole milk,61
131,sausage,61
132,bottled beer,61
133,yogurt,61
134,canned beer,62
135,citrus fruit,63
