,Member_number,Date,itemDescription,InvoiceNum
0,1000,15/03/2015,sausage,1
1,1000,15/03/2015,whole milk,1
2,1000,15/03/2015,semi/finished bread,1
3,1000,15/03/2015,yogurt,1
4,1000,24/06/2014,whole milk,2
5,1000,24/06/2014,pastry,2
6,1000,24/06/2014,salty snack,2
7,1000,24/07/2015,canned beer,3
8,1000,24/07/2015,misc. beverages,3
9,1000,25/11/2015,sausage,4
10,1000,25/11/2015,hygiene articles,4
11,1000,27/05/2015,soda,5
12,1000,27/05/2015,pickled vegetables,5
13,1001,7/2/2014,sausage,6
14,1001,7/2/2014,whole milk,6
15,1001,7/2/2014,rolls/buns,6
16,1001,12/12/2014,whole milk,7
17,1001,12/12/2014,soda,7
18,1001,2/5/2015,frankfurter,8
19,1001,2/5/2015,curd,8
20,1001,14/04/2015,beef,9
21,1001,14/04/2015,white bread,9
22,1001,20/01/2015,frankfurter,10
23,1001,20/01/2015,soda,10
24,1001,20/01/2015,whipped/sour cream,10
25,1002,9/2/2014,frozen vegetables,11
26,1002,9/2/2014,other vegetables,11
27,1002,26/04/2014,butter,12
28,1002,26/04/2014,whole milk,12
29,1002,26/04/2015,tropical fruit,13
30,1002,26/04/2015,sugar,13
31,1002,30/08/2015,butter milk,14
32,1002,30/08/2015,specialty chocolate,14
33,1003,10/2/2015,sausage,15
34,1003,10/2/2015,rolls/buns,15
35,1003,15/10/2014,root vegetables,16
36,1003,15/10/2014,detergent,16
37,1003,19/01/2014,frozen meals,17
38,1003,19/01/2014,dental care,17
39,1003,27/02/2014,rolls/buns,18
40,1003,27/02/2014,rolls/buns,18
41,1004,1/5/2014,dish cleaner,19
42,1004,1/5/2014,cling film/bags,19
43,1004,1/7/2014,canned beer,20
44,1004,1/7/2014,frozen fish,20
45,1004,4/2/2014,pip fruit,21
46,1004,4/2/2014,whole milk,21
47,1004,4/2/2014,tropical fruit,21
48,1004,10/6/2014,rolls/buns,22
49,1004,10/6/2014,red/blush wine,22
50,1004,10/6/2014,chocolate,22
51,1004,10/7/2014,other vegetables,23
52,1004,10/7/2014,shopping bags,23
53,1004,2/12/2015,other vegetables,24
54,1004,2/12/2015,hygiene articles,24
55,1004,13/10/2014,whole milk,25
56,1004,13/10/2014,chocolate,25
57,1004,13/10/2014,packaged fruit/vegetables,25
58,1004,13/10/2014,rolls/buns,25
59,1004,19/08/2014,root vegetables,26
60,1004,19/08/2014,whole milk,26
61,1004,19/08/2014,pastry,26
62,1005,9/1/2014,rolls/buns,27
63,1005,9/1/2014,rolls/buns,27
64,1005,23/01/2014,whipped/sour cream,28
65,1005,23/01/2014,margarine,28
66,1006,5/7/2014,bottled water,29
67,1006,5/7/2014,softener,29
68,1006,5/7/2014,rolls/buns,29
69,1006,9/4/2014,whole milk,30
70,1006,9/4/2014,rice,30
71,1006,11/7/2014,shopping bags,31
72,1006,11/7/2014,skin care,31
73,1006,14/06/2015,whole milk,32
74,1006,14/06/2015,frankfurter,32
75,1006,14/06/2015,chicken,32
76,1006,14/06/2015,frankfurter,32
77,1006,14/06/2015,flour,32
78,1006,14/06/2015,chocolate,32
79,1006,14/06/2015,bottled beer,32
80,1006,14/06/2015,rolls/buns,32
81,1008,3/10/2015,hamburger meat,33
82,1008,3/10/2015,liquor (appetizer),33
83,1008,3/10/2015,liver loaf,33
84,1008,3/10/2015,dessert,33
85,1008,21/07/2015,tropical fruit,34
86,1008,21/07/2015,soda,34
87,1008,21/07/2015,yogurt,34
88,1008,21/07/2015,root vegetables,34
89,1008,21/07/2015,yogurt,34
90,1008,21/07/2015,domestic eggs,34
91,1008,21/07/2015,white wine,34
92,1008,21/07/2015,photo/film,34
93,1009,5/10/2015,herbs,35
94,1009,5/10/2015,yogurt,35
95,1009,5/10/2015,newspapers,35
96,1009,14/05/2015,tropical fruit,36
97,1009,14/05/2015,yogurt,36
98,1009,23/09/2015,pastry,37
99,1009,23/09/2015,ketchup,37
100,1009,24/01/2014,canned fish,38
101,1009,24/01/2014,cocoa drinks,38
102,1010,5/3/2014,pip fruit,39
103,1010,5/3/2014,coffee,39
104,1010,5/3/2014,UHT/milk,39
105,1010,10/4/2014,kitchen towels,40
106,1010,10/4/2014,sliced cheese,40
107,1010,23/08/2014,bottled water,41
108,1010,23/08/2014,specialty bar,41
109,1010,27/08/2014,frankfurter,42
110,1010,27/08/2014,bottled water,42
111,1010,31/07/2015,pip fruit,43
112,1010,31/07/2015,candles,43
113,1010,31/07/2015,rolls/buns,43
114,1011,2/6/2014,curd cheese,44
115,1011,2/6/2014,pastry,44
116,1011,9/12/2015,whole milk,45
117,1011,9/12/2015,frankfurter,45
118,1011,9/12/2015,candles,45
119,1011,9/12/2015,grapes,45
120,1011,9/12/2015,herbs,45
121,1011,9/12/2015,other vegetables,45
122,1011,9/12/2015,yogurt,45
123,1011,15/02/2014,citrus fruit,46
124,1011,15/02/2014,candy,46
125,1011,15/02/2014,bottled water,46
126,1011,15/02/2014,rolls/buns,46
127,1012,3/10/2015,frankfurter,47
128,1012,3/10/2015,yogurt,47
129,1012,19/11/2015,tropical fruit,48
130,1012,19/11/2015,root vegetables,48
131,1012,19/11/2015,rolls/buns,48
132,1012,19/11/2015,onions,48
133,1012,19/11/2015,shopping bags,48
134,1012,22/06/2014,frozen vegetables,49
135,1012,22/06/2014,brown bread,49
136,1012,27/03/2015,processed cheese,50
137,1012,27/03/2015,whole milk,50
138,1013,12/11/2014,root vegetables,51
139,1013,12/11/2014,mayonnaise,51
140,1013,2/7/2015,frozen meals,52
141,1013,2/7/2015,whole milk,52
142,1013,2/10/2015,white bread,53
143,1013,2/10/2015,meat,53
144,1013,2/10/2015,domestic eggs,53
145,1013,2/10/2015,roll products ,53
146,1013,15/07/2014,other vegetables,54
147,1013,15/07/2014,mustard,54
148,1013,17/01/2014,hard cheese,55
149,1013,17/01/2014,napkins,55
150,1013,17/01/2014,bottled water,55
151,1013,20/02/2014,whole milk,56
152,1013,20/02/2014,candy,56
153,1013,26/03/2014,tropical fruit,57
154,1013,26/03/2014,frozen vegetables,57
155,1013,28/03/2014,mustard,58
156,1013,28/03/2014,whipped/sour cream,58
157,1014,4/9/2014,hamburger meat,59
158,1014,4/9/2014,butter milk,59
159,1014,6/10/2014,whole milk,60
160,1014,6/10/2014,rolls/buns,60
161,1014,3/10/2015,whole milk,61
162,1014,3/10/2015,sausage,61
163,1014,3/10/2015,bottled beer,61
164,1014,3/10/2015,yogurt,61
165,1014,4/1/2015,canned beer,62
166,1014,4/1/2015,cookware,62
167,1015,4/5/2015,citrus fruit,63
168,1015,4/5/2015,whole milk,63
169,1015,22/03/2015,salty snack,64
170,1015,22/03/2015,beef,64
171,1015,28/06/2014,fruit/vegetable juice,65
172,1015,28/06/2014,rolls/buns,65
173,1015,28/06/2014,chocolate,65
174,1016,5/10/2015,UHT/milk,66
175,1016,5/10/2015,bottled beer,66
176,1016,19/07/2015,chicken,67
177,1016,19/07/2015,red/blush wine,67
178,1016,23/04/2015,soft cheese,68
179,1016,23/04/2015,pip fruit,68
180,1016,30/09/2015,rolls/buns,69
181,1016,30/09/2015,frankfurter,69
182,1016,30/09/2015,oil,69
183,1016,30/09/2015,pip fruit,69
184,1016,30/09/2015,mayonnaise,69
185,1017,14/10/2014,brown bread,70
186,1017,14/10/2014,pet care,70
187,1017,16/05/2015,other vegetables,71
188,1017,16/05/2015,rolls/buns,71
189,1017,19/06/2014,yogurt,72
190,1017,19/06/2014,beef,72
191,1017,21/02/2014,other vegetables,73
192,1017,21/02/2014,root vegetables,73
193,1017,30/09/2015,soda,74
194,1017,30/09/2015,dessert,74
195,1017,30/09/2015,shopping bags,74
196,1018,1/10/2014,curd,75
197,1018,1/10/2014,long life bakery product,75
198,1018,15/04/2014,beverages,76
199,1018,15/04/2014,domestic eggs,76
200,1018,23/05/2015,butter milk,77
201,1018,23/05/2015,root vegetables,77
