,Items
0,sausage
1,whole milk
2,yogurt
3,pastry
4,salty snack
5,canned beer
6,misc. beverages
7,hygiene articles
8,soda
9,rolls/buns
10,frankfurter
11,curd
12,beef
13,white bread
14,whipped/sour cream
15,frozen vegetables
16,other vegetables
17,butter
18,tropical fruit
19,sugar
20,butter milk
21,specialty chocolate
22,root vegetables
23,frozen meals
24,pip fruit
25,chocolate
26,shopping bags
27,margarine
28,bottled water
29,chicken
30,bottled beer
31,hamburger meat
32,dessert
33,domestic eggs
34,newspapers
35,coffee
36,UHT/milk
37,sliced cheese
38,specialty bar
39,grapes
40,citrus fruit
41,candy
42,onions
43,brown bread
44,meat
45,hard cheese
46,napkins
47,fruit/vegetable juice
48,oil
49,long life bakery product
50,beverages
51,berries
52,ham
53,cream cheese 
54,pork
55,ice cream
56,waffles
