,Items
0,Instant food products
1,UHT-milk
2,abrasive cleaner
3,artif. sweetener
4,baby cosmetics
5,baby food
6,bags
7,baking powder
8,bathroom cleaner
9,beef
10,berries
11,beverages
12,bottled beer
13,bottled water
14,brandy
15,brown bread
16,butter
17,butter milk
18,cake bar
19,candles
20,candy
21,canned beer
22,canned fish
23,canned fruit
24,canned vegetables
25,cat food
26,cereals
27,chewing gum
28,chicken
29,chocolate
30,chocolate marshmallow
31,citrus fruit
32,cleaner
33,cling film/bags
34,cocoa drinks
35,coffee
36,condensed milk
37,cooking chocolate
38,cookware
39,cream
40,cream cheese
41,curd
42,curd cheese
43,decalcifier
44,dental care
45,dessert
46,detergent
47,dish cleaner
48,dishes
49,dog food
50,domestic eggs
51,female sanitary products
52,finished products
53,fish
54,flour
55,flower (seeds)
56,flower soil/fertilizer
57,frankfurter
58,frozen chicken
59,frozen dessert
60,frozen fish
61,frozen fruits
62,frozen meals
63,frozen potato products
64,frozen vegetables
65,fruit/vegetable juice
66,grapes
67,hair spray
68,ham
69,hamburger meat
70,hard cheese
71,herbs
72,honey
73,house keeping products
74,hygiene articles
75,ice cream
76,instant coffee
77,jam
78,ketchup
79,kitchen towels
80,kitchen utensil
81,light bulbs
82,liqueur
83,liquor
84,liquor (appetizer)
85,liver loaf
86,long life bakery product
87,make up remover
88,male cosmetics
89,margarine
90,mayonnaise
91,meat
92,meat spreads
93,misc. beverages
94,mustard
95,napkins
96,newspapers
97,nut snack
98,nuts/prunes
99,oil
100,onions
101,organic products
102,organic sausage
103,other vegetables
104,packaged fruit/vegetables
105,pasta
106,pastry
107,pet care
108,photo/film
109,pickled vegetables
110,pip fruit
111,popcorn
112,pork
113,potato products
114,potted plants
115,preservation products
116,processed cheese
117,prosecco
118,pudding powder
119,ready soups
120,red/blush wine
121,rice
122,roll products
123,rolls/buns
124,root vegetables
125,rubbing alcohol
126,rum
127,salad dressing
128,salt
129,salty snack
130,sauces
131,sausage
132,seasonal products
133,semi-finished bread
134,shopping bags
135,skin care
136,sliced cheese
137,snack products
138,soap
139,soda
140,soft cheese
141,softener
142,sound storage medium
143,soups
144,sparkling wine
145,specialty bar
146,specialty cheese
147,specialty chocolate
148,specialty fat
149,specialty vegetables
150,spices
151,spread cheese
152,sugar
153,sweet spreads
154,syrup
155,tea
156,tidbits
157,toilet cleaner
158,tropical fruit
159,turkey
160,vinegar
161,waffles
162,whipped/sour cream
163,whisky
164,white bread
165,white wine
166,whole milk
167,yogurt
168,zwieback
