item,related,confidence,lift
['baking powder'],['whole milk'],0.522988506,2.046793456
['baking powder'],['other vegetables'],0.413793103,2.138547122
"['beef', 'other vegetables']",['whole milk'],0.469072165,1.835783821
"['beef', 'other vegetables']",['root vegetables'],0.402061856,3.688692491
"['beef', 'other vegetables']",['rolls/buns'],0.293814433,1.597382503
"['beef', 'other vegetables']",['yogurt'],0.262886598,1.884467705
"['beef', 'rolls/buns']",['whole milk'],0.5,1.956824513
"['beef', 'rolls/buns']",['other vegetables'],0.425373134,2.198394522
"['beef', 'root vegetables']",['whole milk'],0.461988304,1.808060076
"['beef', 'root vegetables']",['other vegetables'],0.456140351,2.357404283
"['beef', 'whole milk']",['other vegetables'],0.435406699,2.250249543
"['beef', 'whole milk']",['root vegetables'],0.377990431,3.467850639
"['beef', 'whole milk']",['rolls/buns'],0.320574163,1.742867269
"['beef', 'whole milk']",['yogurt'],0.28708134,2.057904502
"['beef', 'yogurt']",['whole milk'],0.52173913,2.041903839
"['beef', 'yogurt']",['other vegetables'],0.443478261,2.291964633
['beef'],['whole milk'],0.40503876,1.585179547
['beef'],['other vegetables'],0.375968992,1.943066232
['beef'],['root vegetables'],0.331395349,3.040366843
['beef'],['rolls/buns'],0.259689922,1.411857594
['beef'],['yogurt'],0.222868217,1.59760125
['beef'],"['other vegetables', 'whole milk']",0.176356589,2.356612845
['beef'],['citrus fruit'],0.160852713,1.943472278
['beef'],['soda'],0.15503876,0.889099826
['beef'],"['root vegetables', 'whole milk']",0.153100775,3.130449322
['beef'],"['other vegetables', 'root vegetables']",0.151162791,3.190313405
['beef'],['pork'],0.145348837,2.521174275
['beef'],['tropical fruit'],0.145348837,1.385180052
['beef'],"['rolls/buns', 'whole milk']",0.129844961,2.292684369
['beef'],['whipped/sour cream'],0.127906977,1.784347683
['beef'],['newspapers'],0.122093023,1.529662272
['beef'],['pastry'],0.120155039,1.350542636
['beef'],['bottled water'],0.118217054,1.069608766
['beef'],['margarine'],0.118217054,2.018515154
['beef'],"['whole milk', 'yogurt']",0.11627907,2.075507534
['beef'],['domestic eggs'],0.114341085,1.802154765
['beef'],['butter'],0.110465116,1.9934393
['beef'],"['other vegetables', 'rolls/buns']",0.110465116,2.592898374
['beef'],['sausage'],0.106589147,1.134528424
['beef'],"['other vegetables', 'yogurt']",0.098837209,2.276496378
['beef'],['fruit/vegetable juice'],0.096899225,1.340371134
['berries'],['whole milk'],0.354740061,1.388328095
['berries'],['yogurt'],0.318042813,2.279847719
['berries'],['other vegetables'],0.308868502,1.596280459
['berries'],['whipped/sour cream'],0.272171254,3.796885505
['berries'],['soda'],0.220183486,1.26268489
['berries'],['tropical fruit'],0.201834862,1.923494062
['berries'],['rolls/buns'],0.198776758,1.080690668
['berries'],['root vegetables'],0.198776758,1.823665503
['berries'],['citrus fruit'],0.162079511,1.958294825
['beverages'],['whole milk'],0.26171875,1.024275331
['beverages'],['yogurt'],0.2109375,1.512077487
['beverages'],['rolls/buns'],0.20703125,1.125567907
['beverages'],['other vegetables'],0.19921875,1.029593487
"['bottled beer', 'bottled water']",['whole milk'],0.387096774,1.514960913
"['bottled beer', 'bottled water']",['soda'],0.322580645,1.849901251
"['bottled beer', 'other vegetables']",['whole milk'],0.471698113,1.846060861
"['bottled beer', 'rolls/buns']",['whole milk'],0.395522388,1.547935808
"['bottled beer', 'soda']",['bottled water'],0.299401198,2.708933559
"['bottled beer', 'whole milk']",['other vegetables'],0.373134328,1.928416248
"['bottled beer', 'whole milk']",['bottled water'],0.298507463,2.70084719
"['bottled beer', 'whole milk']",['rolls/buns'],0.263681592,1.433559125
"['bottled beer', 'whole milk']",['yogurt'],0.253731343,1.818839476
"['bottled beer', 'yogurt']",['whole milk'],0.56043956,2.193363739
['bottled beer'],['whole milk'],0.253787879,0.993236684
['bottled beer'],['soda'],0.210858586,1.209209441
['bottled beer'],['other vegetables'],0.200757576,1.037546378
['bottled beer'],['bottled water'],0.195707071,1.770725888
['bottled beer'],['rolls/buns'],0.169191919,0.919846614
['bottled beer'],['root vegetables'],0.119949495,1.10046948
['bottled beer'],['yogurt'],0.11489899,0.823638167
['bottled beer'],['tropical fruit'],0.102272727,0.974663055
['bottled beer'],['sausage'],0.097222222,1.034827441
['bottled beer'],"['other vegetables', 'whole milk']",0.09469697,1.26541399
['bottled beer'],['fruit/vegetable juice'],0.087121212,1.205115501
['bottled beer'],['citrus fruit'],0.075757576,0.915326484
['bottled beer'],['margarine'],0.075757576,1.293534301
['bottled beer'],"['bottled water', 'whole milk']",0.075757576,2.204366147
['bottled beer'],['pip fruit'],0.073232323,0.96806438
['bottled beer'],['butter'],0.071969697,1.298755908
['bottled beer'],['shopping bags'],0.069444444,0.704836028
['bottled beer'],['frankfurter'],0.066919192,1.134741815
['bottled beer'],"['rolls/buns', 'whole milk']",0.066919192,1.181598299
['bottled beer'],['brown bread'],0.064393939,0.99265579
['bottled beer'],['napkins'],0.064393939,1.229736687
['bottled beer'],['pork'],0.064393939,1.116956603
['bottled beer'],"['whole milk', 'yogurt']",0.064393939,1.149390915
['bottled beer'],"['bottled water', 'soda']",0.063131313,2.178584086
"['bottled water', 'butter']",['whole milk'],0.602272727,2.357084072
"['bottled water', 'citrus fruit']",['whole milk'],0.436090226,1.706704086
"['bottled water', 'citrus fruit']",['other vegetables'],0.37593985,1.942915618
"['bottled water', 'fruit/vegetable juice']",['whole milk'],0.407142857,1.593414246
"['bottled water', 'fruit/vegetable juice']",['soda'],0.364285714,2.089067055
"['bottled water', 'other vegetables']",['whole milk'],0.43442623,1.70019179
"['bottled water', 'other vegetables']",['yogurt'],0.327868852,2.350284376
"['bottled water', 'other vegetables']",['rolls/buns'],0.295081967,1.604273713
"['bottled water', 'other vegetables']",['root vegetables'],0.282786885,2.594411396
"['bottled water', 'other vegetables']",['tropical fruit'],0.25,2.38250969
"['bottled water', 'other vegetables']",['soda'],0.229508197,1.316159251
"['bottled water', 'other vegetables']",['citrus fruit'],0.204918033,2.475883111
"['bottled water', 'other vegetables']",['sausage'],0.204918033,2.181135122
"['bottled water', 'rolls/buns']",['whole milk'],0.361344538,1.414175698
"['bottled water', 'rolls/buns']",['other vegetables'],0.302521008,1.563475627
"['bottled water', 'rolls/buns']",['yogurt'],0.294117647,2.108343337
"['bottled water', 'rolls/buns']",['soda'],0.281512605,1.614388613
"['bottled water', 'rolls/buns']",['tropical fruit'],0.222689076,2.122235522
"['bottled water', 'root vegetables']",['whole milk'],0.467532468,1.829757986
"['bottled water', 'root vegetables']",['other vegetables'],0.448051948,2.315602159
"['bottled water', 'sausage']",['other vegetables'],0.423728814,2.189896417
"['bottled water', 'soda']",['whole milk'],0.259649123,1.016175536
"['bottled water', 'soda']",['yogurt'],0.256140351,1.836108127
"['bottled water', 'soda']",['rolls/buns'],0.235087719,1.278102664
"['bottled water', 'soda']",['other vegetables'],0.196491228,1.01549723
"['bottled water', 'soda']",['fruit/vegetable juice'],0.178947368,2.475312754
"['bottled water', 'soda']",['tropical fruit'],0.178947368,1.705375357
"['bottled water', 'soda']",['bottled beer'],0.175438596,2.178584086
"['bottled water', 'tropical fruit']",['whole milk'],0.434065934,1.69878172
"['bottled water', 'tropical fruit']",['yogurt'],0.384615385,2.757064364
"['bottled water', 'tropical fruit']",['other vegetables'],0.335164835,1.732184001
"['bottled water', 'tropical fruit']",['rolls/buns'],0.291208791,1.583216397
"['bottled water', 'tropical fruit']",['soda'],0.28021978,1.606974658
"['bottled water', 'whole milk']",['other vegetables'],0.313609467,1.620782508
"['bottled water', 'whole milk']",['yogurt'],0.281065089,2.014777805
"['bottled water', 'whole milk']",['rolls/buns'],0.25443787,1.383303731
"['bottled water', 'whole milk']",['tropical fruit'],0.233727811,2.227435095
"['bottled water', 'whole milk']",['soda'],0.218934911,1.255524695
"['bottled water', 'whole milk']",['root vegetables'],0.213017751,1.954318643
"['bottled water', 'whole milk']",['bottled beer'],0.177514793,2.204366147
"['bottled water', 'whole milk']",['citrus fruit'],0.171597633,2.073295727
"['bottled water', 'whole milk']",['fruit/vegetable juice'],0.168639053,2.332721644
"['bottled water', 'whole milk']",['butter'],0.156804734,2.829678085
"['bottled water', 'yogurt']",['whole milk'],0.420353982,1.645117953
"['bottled water', 'yogurt']",['other vegetables'],0.353982301,1.829435591
"['bottled water', 'yogurt']",['soda'],0.32300885,1.852356872
"['bottled water', 'yogurt']",['rolls/buns'],0.309734513,1.683935289
"['bottled water', 'yogurt']",['tropical fruit'],0.309734513,2.951781917
['bottled water'],['whole milk'],0.310947562,1.216939623
['bottled water'],['soda'],0.262189512,1.503576592
['bottled water'],['other vegetables'],0.224471021,1.160101152
['bottled water'],['rolls/buns'],0.218951242,1.190373391
['bottled water'],['yogurt'],0.207911684,1.490387323
['bottled water'],['tropical fruit'],0.167433303,1.595645864
['bottled water'],['bottled beer'],0.142594296,1.770725888
['bottled water'],['root vegetables'],0.141674333,1.29978271
['bottled water'],['fruit/vegetable juice'],0.128794848,1.781571494
['bottled water'],['citrus fruit'],0.122355106,1.478332267
['bottled water'],['sausage'],0.108555658,1.155459842
['bottled water'],['newspapers'],0.102115915,1.279375831
['bottled water'],['shopping bags'],0.099356026,1.008427774
