id,item,related,confidence,lift
2,'baby-needs','bread-and-cake',0.754442649,1.048378401
13,'bake-off-products','bread-and-cake',0.770462633,1.070639875
27,'baking-needs','bread-and-cake',0.783899821,1.089312278
85,'beef','bread-and-cake',0.790109258,1.097940952
23,'beverages-hot','baking-needs',0.76043956,1.258602292
111,'biscuits','bread-and-cake',0.799539171,1.111044819
199,'bread-and-cake','milk-cream',0.701712226,1.104874322
166,'breakfast-food','bread-and-cake',0.773777539,1.075246289
167,'canned-fish-meat','bread-and-cake',0.801275239,1.113457271
168,'canned-fruit','bread-and-cake',0.810600156,1.126415236
169,'canned-vegetables','bread-and-cake',0.796448954,1.106750634
170,'cheese','bread-and-cake',0.793929712,1.10324988
171,'cleaners-polishers','bread-and-cake',0.776545166,1.079092202
172,'coffee','bread-and-cake',0.765082267,1.063163282
173,'cold-meats','bread-and-cake',0.782738095,1.087697936
174,'confectionary','bread-and-cake',0.761989343,1.058865335
37,'cooking-oils','baking-needs',0.769874477,1.274218007
176,'cough-cold-pain','bread-and-cake',0.79281768,1.101704592
177,'dairy-foods','bread-and-cake',0.790767386,1.098855491
178,'dental-needs','bread-and-cake',0.779135338,1.082691522
179,'deod-disinfectant','bread-and-cake',0.746701847,1.037621731
180,'deodorants-soap','bread-and-cake',0.782003711,1.08667743
181,'dishcloths-scour','bread-and-cake',0.812154696,1.128575435
182,'electrical','bread-and-cake',0.747081712,1.038149594
183,'frozen-foods','bread-and-cake',0.783505155,1.088763847
185,'fruit','bread-and-cake',0.784869976,1.090660412
187,'haircare','bread-and-cake',0.774231678,1.075877364
188,'health-food-other','bread-and-cake',0.759530792,1.055448916
189,'insecticides','bread-and-cake',0.740206186,1.028595318
190,'jams-spreads','bread-and-cake',0.803599374,1.116686904
191,'juice-sat-cord-ms','bread-and-cake',0.758732738,1.054339935
193,'kitchen','bread-and-cake',0.736196319,1.023023182
194,'lamb','bread-and-cake',0.754756871,1.048815045
195,'laundry-needs','bread-and-cake',0.789372599,1.096917286
196,'margarine','bread-and-cake',0.800262238,1.112049598
198,'milk-cream','bread-and-cake',0.795098707,1.104874322
200,'party-snack-foods','bread-and-cake',0.775869472,1.078153252
202,'pet-food','bread-and-cake',0.802631579,1.11534205
203,'pet-foods','bread-and-cake',0.798071773,1.109005714
204,'pkt-canned-soup','bread-and-cake',0.781456954,1.085917653
205,'pork','bread-and-cake',0.762318841,1.059323207
607,'potatoes','vegetables',0.858310627,1.340947301
207,'poultry','bread-and-cake',0.788903924,1.096266012
208,'prepared-meals','bread-and-cake',0.79779701,1.108623902
209,'puddings-deserts','bread-and-cake',0.802030457,1.114506727
210,'sanitary-pads','bread-and-cake',0.788461538,1.09565127
211,'sauces-gravy-pkle','bread-and-cake',0.776919582,1.079612492
213,'small-goods','bread-and-cake',0.835125448,1.160495741
214,'small-goods2','bread-and-cake',0.782744283,1.087706534
215,'soft-drinks','bread-and-cake',0.756756757,1.051594099
216,'spices','bread-and-cake',0.782729805,1.087686416
217,'stationary','bread-and-cake',0.770761839,1.071055653
218,'tea','bread-and-cake',0.791294643,1.09958817
219,'tissues-paper-prd','bread-and-cake',0.790293856,1.09819747
221,'variety-misc','bread-and-cake',0.736677116,1.0236913
222,'vegetables','bread-and-cake',0.776089159,1.078458531
224,'wrapping','bread-and-cake',0.785179641,1.091090723
